"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_patch.feature: TC-040 -- PATCH lastname et totalprice (PATCH /booking/{id})","362","test_tc040__patch_lastname_et_totalprice_patch_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_patch_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_list.feature: TC-012 -- SQL injection dans filtre firstname (GET /booking)","204","test_tc012__sql_injection_dans_filtre_firstname_get_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_list_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_update.feature: TC-035 -- PUT avec token invalide (PUT /booking/{id})","442","test_tc035__put_avec_token_invalide_put_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_update_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/auth.feature: TC-001 -- Token valide (POST /auth)","156","test_tc001__token_valide_post_auth","tests","2026-09-17","passed","2026-09-17","","test_auth_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_patch.feature: TC-043 -- PATCH sur ID inexistant (PATCH /booking/9999999)","366","test_tc043__patch_sur_id_inexistant_patch_booking9999999","tests","2026-09-17","passed","2026-09-17","","test_booking_patch_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_update.feature: TC-033 -- Persistence apres PUT (GET /booking/{id})","290","test_tc033__persistence_apres_put_get_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_update_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/health_check.feature: TC-051 -- Health check standard (GET /ping)","166","test_tc051__health_check_standard_get_ping","tests","2026-09-17","passed","2026-09-17","","test_health_check_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_patch.feature: TC-042 -- PATCH avec token invalide (PATCH /booking/{id})","467","test_tc042__patch_avec_token_invalide_patch_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_patch_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-024 -- Champ lastname manquant (POST /booking)","159","test_tc024__champ_lastname_manquant_post_booking","tests","2026-09-17","passed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_create.feature: TC-031 -- XSS payload dans firstname (POST /booking)","207","test_tc031__xss_payload_dans_firstname_post_booking","tests","2026-09-17","failed","2026-09-17","","test_booking_create_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_patch.feature: TC-041 -- PATCH sans token (PATCH /booking/{id})","438","test_tc041__patch_sans_token_patch_bookingid","tests","2026-09-17","passed","2026-09-17","","test_booking_patch_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/auth.feature: TC-005 -- XSS payload dans password (POST /auth)","201","test_tc005__xss_payload_dans_password_post_auth","tests","2026-09-17","passed","2026-09-17","","test_auth_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_list.feature: TC-010 -- Filtre par checkout (GET /booking?checkout=2019-01-01)","168","test_tc010__filtre_par_checkout_get_bookingcheckout20190101","tests","2026-09-17","passed","2026-09-17","","test_booking_list_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_list.feature: TC-011 -- Filtre firstname inexistant (GET /booking?firstname=XYZ)","163","test_tc011__filtre_firstname_inexistant_get_bookingfirstnamexyz","tests","2026-09-17","passed","2026-09-17","","test_booking_list_bdd","",""
"/home/runner/work/qa-plateforme/qa-plateforme/api-pytest-framework/features/booking_update.feature: TC-036 -- PUT sur ID inexistant (PUT /booking/9999999)","354","test_tc036__put_sur_id_inexistant_put_booking9999999","tests","2026-09-17","passed","2026-09-17","","test_booking_update_bdd","",""
